Mesh Name, Process Avg Time
mesh0,0.36804
mesh1,0.33267
mesh10,0.30261
mesh100,0.01948
mesh101,0.01903
mesh102,0.01175
mesh103,0.00442
mesh104,0.00868
mesh105,0.03196
mesh106,0.00775
mesh107,0.01058
mesh108,0.00232
mesh109,0.0369
mesh11,0.72474
mesh110,0.02089
mesh111,0.00883
mesh112,0.01047
mesh113,0.00776
mesh114,0.01046
mesh115,0.02874
mesh116,0.00426
mesh117,0.00167
mesh118,0.01593
mesh119,0.02747
mesh12,1.36258
mesh120,0.02027
mesh121,0.01866
mesh122,0.0042
mesh123,0.01204
mesh124,0.01242
mesh125,0.00788
mesh126,0.0197
mesh127,0.01034
mesh128,0.005
mesh129,0.02396
mesh13,0.29397
mesh130,0.03292
mesh131,0.02506
mesh132,0.00481
mesh133,0.02524
mesh134,0.01265
mesh135,0.01599
mesh136,0.01354
mesh137,0.01376
mesh138,0.00389
mesh139,0.02449
mesh14,0.51175
mesh140,0.01743
mesh141,0.01747
mesh142,0.00603
mesh143,0.0079
mesh144,0.03207
mesh145,0.02011
mesh146,0.00554
mesh147,0.03162
mesh148,0.02068
mesh149,0.01343
mesh15,0.39616
mesh150,0.01318
mesh151,0.0059
mesh152,0.00511
mesh153,0.02844
mesh154,0
mesh155,0.02204
mesh156,0.05608
mesh157,0.12797
mesh158,0.01541
mesh159,0.01012
mesh16,0.51088
mesh160,0.0169
mesh161,0.00311
mesh162,0.00603
mesh163,0.00713
mesh164,0.00377
mesh165,0.00827
mesh166,0.00426
mesh167,0.02046
mesh168,0.0098
mesh169,0.00712
mesh17,0.31735
mesh170,0.01346
mesh171,0.00788
mesh172,0.01851
mesh173,0.04727
mesh174,0.02649
mesh175,0.01753
mesh176,0.00336
mesh177,0.0033
mesh178,0.00433
mesh179,0.00386
mesh18,0.31951
mesh180,0.01524
mesh181,0.006
mesh182,0.00466
mesh183,0.01166
mesh184,0
mesh185,0.00458
mesh186,0.0063
mesh187,0.005
mesh188,0.03898
mesh189,0.00677
mesh19,0.2894
mesh190,0.04462
mesh191,0.01297
mesh192,0.01299
mesh193,0.01156
mesh194,0.01204
mesh195,0.00348
mesh196,0.00221
mesh197,0.00676
mesh198,0.00485
mesh199,0.00332
mesh2,0.28928
mesh20,0.30173
mesh200,0.01205
mesh201,0.01551
mesh202,0.00494
mesh203,0.01723
mesh204,0.00718
mesh205,0.00576
mesh206,0.02497
mesh207,0.05076
mesh208,0.15467
mesh209,0.02172
mesh21,0.60812
mesh210,0.08935
mesh211,0.00733
mesh212,0.02729
mesh213,0.02337
mesh214,0.00678
mesh215,0.14441
mesh216,0.02025
mesh217,0.03468
mesh218,0.05066
mesh219,0.10237
mesh22,0.16653
mesh220,0.12366
mesh221,0.05875
mesh222,0.4033
mesh223,0.36163
mesh224,0.03795
mesh225,0.06109
mesh226,0.05707
mesh227,0.00946
mesh228,0.12859
mesh229,0.01723
mesh23,0.59054
mesh230,0.0895
mesh231,0.07314
mesh232,0.12828
mesh233,0.20689
mesh234,0.01773
mesh235,0.16003
mesh236,0.04464
mesh237,0.05622
mesh238,0.07969
mesh239,0.21416
mesh24,0.33019
mesh240,0.0567
mesh241,0.01799
mesh242,0.02855
mesh243,0.08465
mesh244,0.07721
mesh245,0.01573
mesh246,0.04398
mesh247,0.05465
mesh248,0.06314
mesh249,0.05322
mesh25,0.57457
mesh250,0.08072
mesh251,0.01635
mesh252,0.01181
mesh253,0.01779
mesh254,0.07797
mesh255,0.0133
mesh256,0.04329
mesh257,0.04782
mesh258,0.03224
mesh259,0.05314
mesh26,0.60181
mesh260,0.03274
mesh261,0.08602
mesh262,0.02848
mesh263,0.00987
mesh264,0.0142
mesh265,0.04397
mesh266,0.00956
mesh267,0.05289
mesh268,0.00321
mesh269,0.00887
mesh27,0.59606
mesh270,0.07081
mesh271,0.02549
mesh272,0.01786
mesh273,0.01923
mesh274,0.02566
mesh275,0.02447
mesh276,0.00991
mesh277,0.11155
mesh278,0.02299
mesh279,0.01819
mesh28,0.40435
mesh280,0.01724
mesh281,0.02904
mesh282,0.00724
mesh283,0.02488
mesh284,0.00867
mesh285,0.0082
mesh286,0.03648
mesh287,0.00322
mesh288,0.06997
mesh289,0
mesh29,0.40002
mesh290,0
mesh291,0
mesh292,0
mesh293,0
mesh294,0
mesh295,0
mesh296,0
mesh297,0
mesh298,0
mesh3,0.33964
mesh30,0.35097
mesh31,0.35054
mesh32,0.58708
mesh33,0.16424
mesh34,0.39971
mesh35,0.3443
mesh36,0.34399
mesh37,0.32122
mesh38,0.3013
mesh39,0.45352
mesh4,0.31519
mesh40,0.31143
mesh41,0.30807
mesh42,0.15965
mesh43,0.59144
mesh44,0.61384
mesh45,0.32623
mesh46,0.06664
mesh47,0.00508
mesh48,0.00201
mesh49,0.04046
mesh5,0.38971
mesh50,0.02151
mesh51,0.02371
mesh52,0.02935
mesh53,0.00539
mesh54,0.01008
mesh55,0.01136
mesh56,0.04248
mesh57,0.04476
mesh58,0.00629
mesh59,0.0033
mesh6,0.38652
mesh60,0.05285
mesh61,0.00595
mesh62,0.04785
mesh63,0.00554
mesh64,0.02131
mesh65,0.3715
mesh66,0.02784
mesh67,0.01345
mesh68,0.01584
mesh69,0.06453
mesh7,0.86863
mesh70,0.05042
mesh71,0.01627
mesh72,0.01437
mesh73,0.00439
mesh74,0.04166
mesh75,0.0244
mesh76,0.02222
mesh77,0.00726
mesh78,0.0231
mesh79,0.05057
mesh8,0.39144
mesh80,0.04596
mesh81,0.02294
mesh82,0.01744
mesh83,0.01344
mesh84,0.00365
mesh85,0.01682
mesh86,0.02332
mesh87,0.02314
mesh88,0.03369
mesh89,0.01795
mesh9,0.38823
mesh90,0.02368
mesh91,0.00547
mesh92,0.01301
mesh93,0.01227
mesh94,0.00794
mesh95,0.00933
mesh96,0.00411
mesh97,0.01726
mesh98,0.01897
mesh99,0.01356
